Entity,Year,Land_Use_Temp,Fossil_Fuel_Temp,Nitrous_Oxide_Temp,Methane_Temp,CO2_Temp,Global_Temp_Anomaly,Temp_Anomaly_Upper_CI,Temp_Anomaly_Lower_CI,Annual_GHG_Emissions_CO2_Eq,Total_GHG_Temp_Contribution
World,1851,0.0014449474,0.0002900023,6.7629015e-05,0.00044850307,0.0012188175,-0.2333498,-0.054831687,-0.41186792,4100721200.0,0.0017349496
World,1852,0.0029069197,0.0005840909,0.00013642729,0.0008958221,0.0024587612,-0.22939907,-0.04941572,-0.40938243,4156867000.0,0.0034910105
World,1853,0.004394508,0.0008842343,0.00020635224,0.0013435187,0.0037288712,-0.27035445,-0.110699534,-0.43000934,4233854500.0,0.0052787424
World,1854,0.0058918847,0.0012129006,0.000277345,0.0018013353,0.0050261053,-0.29163003,-0.15043613,-0.43282393,4308952000.0,0.007104785
World,1855,0.007394986,0.0015435872,0.00034933048,0.002257593,0.00633165,-0.2969512,-0.15454465,-0.43935776,4336072700.0,0.008938573
World,1856,0.008912071,0.0018813759,0.00042221724,0.0027119347,0.007659295,-0.32035372,-0.1726142,-0.46809322,4395791400.0,0.010793447
World,1857,0.010439375,0.0022196567,0.0004958976,0.003164302,0.008998832,-0.46723005,-0.31813794,-0.61632216,4429868500.0,0.012659032
World,1858,0.011980079,0.0025574127,0.00057024765,0.0036129323,0.010354311,-0.3887657,-0.24064532,-0.53688604,4472476700.0,0.014537492
World,1859,0.01353351,0.002907734,0.00064512715,0.0040651374,0.011730979,-0.28119546,-0.13854107,-0.42384982,4529827300.0,0.016441245
World,1860,0.015035966,0.0032785481,0.0007203795,0.0045233713,0.013070764,-0.39016518,-0.24135375,-0.5389766,4459609000.0,0.018314514
World,1861,0.016484046,0.0036590705,0.00079590647,0.004985043,0.014362168,-0.42927712,-0.26132414,-0.5972301,4361128400.0,0.020143118
World,1862,0.017924692,0.004040243,0.00087168295,0.005445947,0.015647305,-0.53639776,-0.36908585,-0.7037096,4354249000.0,0.021964936
World,1863,0.019367043,0.0044403747,0.0009476902,0.005916522,0.016943205,-0.3443432,-0.1545219,-0.5341645,4389887000.0,0.023807418
